AAS	教廷公報；宗座公報。全名是 Acta Apostolicae Sedis 。 
Congregationalism	公理會主義基督新教派之一，主張各地方教會獨立，但彼此間有合作的權利與義務。 
congregations, religious	修會指男女教友獻身教會，誓發神貧、貞潔、服從三願，共度獻身生活的團體。各修會雖在生活方式或服務專案上有所不同，但都是隸屬於天主教體制內的團體，亦即均與教宗共融，並非教派。 
Congress, Eucharistic	聖體大會。詳見 Eucharistic Congress 。 
conscience	 (1) 良心每人的理智賦予隨機應變之行善避惡的指示，是道德對義務的認知與判斷。 (2) 意識。拉丁文稱作 conscientia 。 
conscience, cases of	良心個案；良心問題探討在各種境遇中，應如何配合良心或教會法問題。 
conscience, erroneous	錯誤的良心良心對道德之判斷發生主觀上的偏差。 
conscience, examination of	省察；反省；良心檢討反省自己之言行是否符合天主聖意。 
conscience, lax	散漫良心；馬虎良心；粗心。 
conscience, scrupulous	多疑良心因違背常理的懷疑而引起心中的不安，是一種病態。 
consecration	祝聖（禮）；聖化；奉獻教會將人或物獻於天主之隆重禮儀；如祝聖主教，祝聖教堂，成聖體等是。 
consecration of a bishop	祝聖主教。 
Consecration of Mankind to the Sacred Heart of Jesus, Act of	奉獻人類於耶穌聖心（敬禮）天主教對耶穌聖心敬禮之一種。 
consecratory	 (1) 祝聖經文。 (2) 祝聖的；奉獻的。 
consensus (L.)	同意；一致；共識。 
consilia evangelica (L.)	福音勸諭。詳見 Counsel 。 
Consistorial Congregation, Sacred	御前會議部；教區部；教務部由教宗思道五世(Sixtus Ⅴ)於 1587 年設立，今已改為主教部 Congregation for Bishops 。 
consistory	 (1) 御前會議由教宗主持的樞機主教會議。 (2) 教會法庭。 
consortium divinae naturae (L.)	分享天主性。 
Constance, Council of	康士坦斯大公會議十五世紀(1414-1418)在德國康士坦斯召開的大公會議。詳見附錄。 
Constantinople, Council of	君士坦丁堡大公會議在君士坦丁堡共計召開了四次大公會議。詳見附錄。 
constitutions	 (1) 憲章；制誥；制書宗座的正式法規。 (2) 會憲修會團體之基本規章。次要者稱會規或會章。 (3) 憲章大公會議最重要的文獻，如教會憲章、天主的啟示教義憲章、禮儀憲章等。次要文獻依次是法令、宣言。 
Constitution, Apostolic	宗座憲令。 
con-substantiality	同性同體指基督與聖父同性同體；乃西元 325 年尼西（才）亞(Nicaea)第一次大公會議所宣佈之信條。 
con-substantiation	合質論部分基督新教人士主張耶穌體、血與餅、酒同在之學說，與天主教之質變說 trans-substantiation 不同。 
consultors	參議員包括聖部的、教區的或修會的。 
consultor, college of	參議會教區主教可從司鐸諮議會中任命若干司鐸組成參議會，享有法律所規定的職務（法典 502)。修會亦有類似組織（法典 627)。 
consumatum est (L.)	完成了耶穌在十字架上講的最後一句話（若十九 30)。 
consummation at the end of time	世界末日；時期終結時的圓滿指世界及人類終結的時刻。拉丁文稱作 consummatio mundi 世界窮盡、世界末日。 
contemplation	默觀；靜觀；默禱；沉思靠直覺面對天主默想祈禱。 
contemplative life	默觀生活；默禱生活以祈禱、工作、克己為主要的靈修生活方式。 
contemplative orders	默觀修會以祈禱、工作、克己為主要靈修生活方式的修會，如熙篤會、聖衣會等。 
contextual theology	環境神學；場合神學。 
continence	節德；節制；自製四樞德 cardinal virtues 之一。四樞德為智、義、勇、節。 
contraception	節育積極阻礙生育手段。 
contribution	援助；貢獻。 
contrition	痛悔；懺悔；悔改指心靈對所犯罪惡的痛恨和憎惡，立志決不再重蹈覆轍。是告解聖事五條件之一。五條件為省察、痛悔、定改、告明、補贖。 
contrition, act of	 (1) 悔罪經；痛悔經。常用者為天主耶穌基利斯督，我重罪人，得罪于天主，而今為天主，又為愛天主在萬有之上，一心痛悔我之罪過（三次），定心再不敢得罪於天主，望天主全赦我之罪。阿們。 (2) 發痛悔；悔罪行為。 
contrition, imperfect	下等痛悔因畏懼天主、或因羞愧、或恐受罰而生的悔罪行為。為辦告解的要件之一。 
contrition, perfect	上等痛悔由愛慕天主而生的悔罪行為。告解前罪過已蒙赦免，但重罪仍有辦告解的義務。 
Controversy, Chinese Rites	中國禮儀之爭。詳見 Chinese Rites Controversy 。 
convalidation of marriage	婚姻補救；婚姻追認使無效婚姻，經教會法定手續，成為合法有效的婚姻（法典 1156-1160)。 
convent	會院尤其指修女會院。 
Conventual	方濟住院會方濟會的一支，前置 O.F.M. 。 1415 年由教宗若望廿二世(John XXII)批准；因穿黑色會衣，故又稱黑方濟會士 Black Franciscans 。 
conventual Mass	團體彌撒指修會會院團體所舉行的彌撒。 
conversion	 (1) 改宗；皈依；歸正；歸化宗教信仰之改正。 (2) 回頭改過。 (3) 根本的改變指彌撒中之餅、酒，經祝聖後改變為耶穌基督的體、血；參閱 trans-substantiation 。 
convert	 (1) 新教友；指 ( 嬰兒以外之 ) 成人進教者。 (2) 皈依者；改信另一宗教者。 (3) 回頭改過者。 
cope	大圓衣；大外衣；戛巴（音譯）。拉丁文稱作 cappa 。 
Copernican	哥伯尼學說波蘭天文學家、天主教神父哥伯（白）尼 (1473-1543) 主張太陽為宇宙中心的學說。 
Coptic Rite	埃及禮；高布提克禮相傳由聖瑪谷建立於亞歷山大的埃及教會所用的禮儀，因相信耶穌只有一性一體而脫離天主教。 
Cor Unum (L.)	一心是教廷為促進人類發展而設立的一個組織。 Cor 原意為心， Cor Jesu 意即耶穌聖心。 
co-redemptrice	同救贖者；襄助救世者；協同救贖者指聖母聯同聖子耶穌一起救贖人類；強調聖母在救贖史中的重要地位，以十字架的奉獻為高峰。拉丁文稱 co-redemptrix 。 
Corinthians, Epistle to the	格林多書；哥林多書（基）保祿書信之一；分前後兩書；約於西元 53-57 年間寫成。保祿寫該書之目的是為消除教會內部的紛爭和惡表，同時也為答復信友所提出的一些問題。 
cornerstone	角石；基石；教會基石指基督。 
cornerstone, blessing of the	奠基禮。 
corona (L.)	 (1) 玫瑰經每串玫瑰經各包括五端奧跡，即歡喜奧跡(Joyful Mysteries)、痛苦奧跡(Sorrowful Mysteries)、榮福奧跡(Glorious Mysteries)。這些奧跡反映聖母參與基督救贖大業的事蹟。 (2) 發圈從前有些修會會士、聖職人員剃去部分頭頂之頭髮，所留之圓圈稱為發圈，今已不多見。 
Coronation of our Lady	聖母加冕玫瑰經榮福奧跡的第五端。 
corporal	殮布；九折布；聖體布彌撒中為對聖體表示尊敬所鋪用的白麻布，因彌撒為紀念耶穌犧牲救世，故名殮布－裹屍之布；又因通常折為九折，又稱九折布。 
corporal works of mercy	物質的施捨。詳見 works of mercy, corporal 。 
corpus (L.)	 (1) 身體代表基督被釘在十字架上的屍體。亦指一般世人的肉體。 (2) 集成；大全。 (3) 　正典。 
Corpus Canonum Ecclesiarum Orientalium (L.)	東方教會法典。 
Corpus Christi (L.)	（１）耶穌聖體節；耶穌聖體瞻禮；基督聖體聖血節通常於天主聖三主日後的星期四舉行，在中國延到下一個星期天。（２）耶穌聖體（聖血）。英文稱作 The Body of Christ 。 
correction, fraternal	友誼規勸協助他人避免犯罪或犯錯（瑪十八 15-17 ；得三 15)。 
cosmogenesis	宇宙演化論；宇宙進化。 
cosmology	宇宙論討論宇宙起源的理論。 
Costantini	剛毅全名為剛毅樞機 Cardinal Celso Costantini ，乃教廷首任駐華代表、中國教會之密友、主徒會創辦人、後升任傳信部次長。主徒會為紀念他，在臺北創辦了毅中學及毅月刊，在馬來西亞成立了剛毅研究中心，也將他有關中國教會、福傳、神修、藝術方面的著作譯成中文。 
council	（教會）會議；議會；公議會；宗教會議指主教與其他領導人召開的討論有關教義、管理、紀律等事務的聚會。有關大公會議詳見本書附錄。 
council, diocesan	教區會議。詳見 synod, diocesan 。 
Council, Ecumenical	大公會議由教宗召集全球主教及有關人士參加的會議。迄今已舉行廿一次；最近一次為　 1962-1965 年所召開的第二屆梵蒂岡大公會議。拉丁文稱作　 concilium oecumenicum 。詳見本書附錄。 
council, finance	經濟委員會每一教區應設立經濟委員會，由主教擔任主席，委員會成員中，主教應至少任命三位精通經濟、民法、品德無缺的信徒（法典 492)。 
council, inter-diocesan	各教區間會議如臺灣地區主教會議。 
Council, Lateran	拉特朗大公會議。詳見　 Lateran Councils 。 
council, national	全國會議亦即全國教務會議。 
council, pastoral	牧靈委員會每一教區應成立牧靈委員會，對教區的牧靈工作，加以研究、探討，並提出實際的結論（法典 511)。 
council, plenary	全區主教會議；全國會議同一主教團內的所有地區所召開的會議（法典 439)。中國 1924 年所召開的上海會議即用此稱呼。 
council, presbyterial	司鐸諮議會每一教區應成立司鐸諮議會，代表司祭團協助主教治理教區（法典 495)。 
council, provincial	教省會議；全省主教會議。 
Council, Sacred Congregation of	會議（聖）部 1564 年由教宗碧嶽四世設立。 
Council, Vatican	梵蒂岡大公會議。詳見本書附錄。 
Council of Chalcedon	加采東大公會議。詳見本書附錄。 
Council of Constance	康士坦斯大公會議。詳見本書附錄。 
Council of Constantinople	君士坦丁堡大公會議。詳見本書附錄。 
council of consultors	參議會。 
Council of Ephesus	厄弗所大公會議。詳見本書附錄。 
Council of Florence	翡冷翠大公會議。詳見本書附錄。 
Council of Lyons	里昂大公會議。詳見本書附錄。 
Council of Nicaea	尼西（才）亞大公會議。詳見本書附錄。 
council of priests	司鐸諮（參）議會；司鐸代表會；神父代表會。 
Council of Trent	特倫多大公會議；脫（特）利騰大公會議。詳見本書附錄。 
Council of Vienne	維也諾（乃）大公會議。詳見本書附錄。 
counsel, evangelical	福音勸諭拉丁文稱作　 consilia evangelica ，意指基督于福音聖訓中，除命令世人嚴格遵守十誡(precepts)外，也奉勸世人更上一層樓，修煉貧窮、貞潔、服從三美德。而男女會士響應耶穌的此一號召，以貧窮（神貧）、貞潔、服從三誓願的方式，跟隨耶穌虔度獻身生活。 
counsels of perfection	福音勸諭；全德的勸諭。詳見　 counsel 。 
Counter-Reformation, the	天主教復興；反宗教改革自 1545 年特倫多大公會議(Council of Trent)後一百年間，天主教內之各種復興運動，是受到十六世紀路德派、加爾文派、英國國教 … 與天主教分庭抗禮之刺激。 
courts, ecclesiastical	教會法庭。 
covenant	 (1) 約盟約；締結盟約；立約指天人之間的共融和交往，天主以無限的愛協助世人獲得救恩。 (2) 同盟長老制度的同盟。 
covetousness	貪欲。 
cowl	風帽連于修會會衣上端的三角形帽。 
creatio (L.)	創造。詳見 creation 。 
creation	 (1) 創造指天主創造宇宙，使宇宙存在。在起初，除天主外，一無所有，天主創造了宇宙萬物，創世紀第一章對天主造世有重要的宗教性的宣示，但並非自然科學的論著（參閱創一）。創造的拉丁全文稱 creatio ex nihilo 。英文為 creation 。 (2) 宇宙萬物。 (3) 任命；新設教宗任命樞機或成立新教區。 
creation of cardinals	樞機任命唯獨教宗有任命樞機主教的權力。 
creationism	創造說尤其強調靈魂由天主直接創造。 
Creator	造物主；創造者；造物者。 
creature	受造物；天地萬物。拉丁文稱作 creatura 。受造的人類為 human creature 。 
credit union, parish	堂區儲蓄互助社為小型合作社，教宗若望廿三世曾于《慈母與導師》通諭中大加讚揚；現臺灣堂區亦有成立者。 
Credo (L.)	 (1) 信經。 (2) 信仰。拉丁原文 Credo 即「我信」，後面接下來是各端信條。參閱 Apostles' Creed 宗徒信經及 Athanasian Creed 達修信經。 
